txtFornecedor,vlrLiquido
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
AMORETTO CAFES EXPRESSO LTDA,654.6
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,300.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
ANDREA MELLO PONCIONI,3000.0
"ART STILO PAPELARIA, LIV. COM. INF. LTDA EPP",79.5
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
CONCORDE CONSTRUTORA E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,300.0
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,85.53
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,295.88
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,215.05
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,349.31
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,309.54
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,347.37
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,435.87
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,576.18
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,607.93
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,528.23
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,160.0
LIDER PRINT LOCADORA DE IMPRESSORAS LTDA - ME,142.86
ORIGINAL PAPELARIA E SERVICOS PP,583.0
TAKEO MARUTA CONVENIENCIA ME,253.17
Titania com. e serviço de tecnologia da inf.Ltda,352.33
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,185.83
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
Titania com. e serviço de tecnologia da inf.Ltda,259.0
TITANIA COMERCIO E SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,352.33
AGUIA BRANCA COMERCIO DE COMBUSTIVEIS LTDA,266.75
ALBERTI COM. DE COMBUST,243.0
AUTO POSTO AEROPORTO LTDA,220.43
AUTO POSTO AEROPORTO LTDA,219.23
AUTO POSTO CINCO ESTRELAS LTDA,191.8
AUTO POSTO DA GUIA LTDA,228.02
AUTO POSTO DA GUIA LTDA,50.0
AUTO POSTO FLORAIS LTDA,50.0
AUTO POSTO ITAOCA LTDA - ME,216.02
AUTO POSTO JK LTDA,150.0
AUTO POSTO MADAGASCAR LTDA,240.0
AUTO POSTO MADAGASCAR LTDA,120.03
AUTO POSTO NORTAO ITAUBA LTDA,301.46
AUTO POSTO ORIZONA LTDA,214.5
AUTO POSTO TIBIRISSA LTDA,329.02
AUTO POSTO TIBIRISSA LTDA,314.05
AUTO POSTO TIBIRISSA LTDA,266.52
AUTO POSTO TIBIRISSA LTDA,248.72
AUTO POSTO TIBIRISSA LTDA,223.08
AUTO POSTO TIBIRISSA LTDA,240.01
AUTO POSTO TIBIRISSA LTDA,270.0
AUTO POSTO TIBIRISSA LTDA,200.0
AUTO POSTO TIBIRISSA LTDA,333.02
AUTO POSTO TIBIRISSA LTDA,281.04
AUTO POSTO TIBIRISSA LTDA,200.0
AUTO POSTO TIBIRISSA LTDA,250.01
AUTO POSTO TIBIRISSA LTDA,200.0
AUTO POSTO TIBIRISSA LTDA,110.91
AUTO POSTO TIBIRISSA LTDA,171.53
AUTO POSTO TIBIRISSA LTDA,339.54
AUTO POSTO TIBIRISSA LTDA,250.03
AUTO POSTO TIBIRISSA LTDA,100.04
AUTO POSTO TIBIRISSA LTDA,300.03
AUTO POSTO TIBIRISSA LTDA,150.04
AUTO POSTO TIBIRISSA LTDA,283.43
AUTO POSTO TIBIRISSA LTDA,150.0
AUTO POSTO TIBIRISSA LTDA,246.03
